Respondent,How clear was the distinction between the nomination and application phases?,Text: How clear was the distinction between the nomination and application phases?,Do you feel you had enough information to successfully complete nominations?,Text: Do you feel you had enough information to successfully complete nominations?,"Text: Please name the resources that were  most useful for you in the nomination and applications processes.",How easy was it to apply to the round through the platform website (fil-retropgf.io)?,"Text: How easy was it to apply to the  round through the platform website (fil-retropgf.io)?",How would you rate the communication from the round operators during the application process?,"Text: How would you rate the communication  from the round operators during the application process?",How likely are you to build in the Filecoin ecosystem as a result of being a FIL-RetroPGF-1 recipient?,"Text: How likely are you to build in the Filecoin  ecosystem as a result of being a FIL-RetroPGF-1 recipient?"
Respondent #1,,,,,,,,,,,
Respondent #2,,,,,,,,,,,
Respondent #3,3,,4,4 / 4,slack,2,2 - huge amount of time / process relative to the money received,3,"3 - there was lots of communication, but time slipped at each step, it felt like so none of the timelines were accurate",2,2 - has nothing to do with being a recipient
Respondent #4,4,,4,4,Github,4,4,4,4,4,4
Respondent #5,5,,5,"5, I think enough information was provided to support this part of the process. Of course I would personally take the initiative to see that the information is updated.","Discussions in github and information in slack, my sources for information are mainly updates from these two sources",5,"5, but when filling out the form to apply for a signature reported an error, after many inquiries to try to succeed. Supplementing the relevant documentation could fill this gap.",5,"5, there is a person to follow up, very satisfied",5,"5, I have been a long-term builders of filecoin, from the test network when so far, involved in the responsibility of every network upgrade, guided many new and old community members to solve the problem. I will continue to invest energy in building filecoin and improving its performance."
Respondent #6,4,,4,4,The Notion documentation,5,5,4,4,4,4
Respondent #7,3,,2,2,N/A,2,2,2,2,2,2
Respondent #8,3,not sure eligibility,4,4,YouTube Video https://youtu.be/wT9YeFemzPA?si=cPPlSCzm9bAEIOsn,5,"5, pretty easy",4,4,4,4
Respondent #9,3,,3,"3,3",https://fil-retropgf.notion.site/FIL-RetroPGF-4b6f5358440043c8bb1bf53f0297541e,4,4,4,4,5,5
Respondent #10,5,,5,5,"We want to thank Jennifer Wang, who has nominated us for the participation, and Kiran for being super responsive and helpful during the application process. Thank you so much!",5,5,4,"4. When the process started - it was not clear who are the selected badgeholders, so it was not clear how to structure our application to match the badgeholders experience level - either go deep into the technical details or strive to ""tell me like I'm 5"" approach, and whether we should have promoted our application, whether we should do it or not, etc., so we had to go the chats and ask for the help. But I like that operators were very responsive in the direct communications.",5,5
Respondent #11,4,,4,4,Lauren Spiegel,3,"3; did not have metamask, but it was required.  Had to buy ETH to fund it.",3,3; I heard our team won out of band and received no information about it directly,3,"3; we already build in the space, so no change"
Respondent #12,4,,4,"4,4",telegram chat with team,5,5,4,4,5,5
Respondent #13,4,,4,4,,,,3,3,4,4
Respondent #14,4,,5,5,Operating team was making process easy,3,"3, Everything should be directly mentioned on website even this will reduce ops for operating team",5,5,5,5
Respondent #15,5,,5,5,Tom Mellan,5,5,5,5,5,5
Respondent #16,5,,5,5,Operation team was usefu to direct in docs but docs can be better ,5,5,5,5,5,5
Respondent #17,5,,5,5,Ops team was great docs can be much better,5,5,5,5,5,5
Respondent #18,5,website can be better for easy understanding,5,5,Twitter was useful ,5,5,5,5,5,5
Respondent #19,4,some confusion was there due not not proper documentation,5,5,Ops team was directing to simplify things,5,5,5,5,5,5
Respondent #20,5,,5,"5, yes there was enough info",Everything was self explanatory ,5,5,5,5,5,5
Respondent #21,5,,5,5,retro pgf site,5,5,5,5,5,5
Respondent #22,4,,5,5,Help from tom in slack,3,"3, please improve UI in app, add preview option, etc",4,"4, timeline was little here and there",5,5
Respondent #23,5,,5,5,"Emails and responses from retro PGF team, Notion site, website",4,"3 or 4 - I cant quite remember the form but I found the first entry box a bit confusing. It was something like ""profile name"". I wasn't entirely sure what to put in it. 

I also found the previous funding quite hard to answer when some work had been done as a project inside Protocol Labs. I also found the submission invocation didn't work too well for me at first. Also, I submitted two applications and the Spark image was used for the Station project. This could've been a mistake on my end but I think it could also be to do with the state being saved on my browser? Once I noticed it was the wrong image I couldn't change it, as this was after submission",5,5,,I was already building in this ecosystem so this is quite hard to answer but it is definitely an extra incentive to keep building in this ecosystem.
Respondent #24,5,,,1: 5 /2:5,https://github.com/filecoin-project/community/discussions/689,5,5,5,5,5,5
